Company,Owner,Registered Agent,Commercial Registered Agent
XCELLENT HEALTH INC.,,,"REGISTERED AGENT SOLUTIONS, INC."
"XCEL ERECTORS, INC.",,,C T CORPORATION SYSTEM
"Xcel Protective Services, Inc.",,ELI  OLSON,
XCEL ENERGY INC.,,,CORPORATION SERVICE COMPANY
XCEL ENERGY SERVICES INC.,,,CORPORATION SERVICE COMPANY
Xcel Aviation LLC,,TANNER  COLLETTE,
Xcel Aviation,Tanner S Collette,,
Xcel Automation & Electric LLC,,TANNER  COLLETTE,
XCEL ENERGY,NORTHERN STATES POWER COMPANY,,
"XZILON, INC.",,,CORPORATION SERVICE COMPANY
XYZ LLC,,DAVID  SATROM,
XYMTEC Industries LLC,,ANDREW  SANDVIK,
"XYLEM WATER SOLUTIONS U.S.A., INC.",,,C T CORPORATION SYSTEM
"XYLEM DEWATERING SOLUTIONS, INC.",,,C T CORPORATION SYSTEM
XXI CENTURY LTD.,,TODD J SCHULZ,
"XTTRIUM LABORATORIES, INC.",,,"INCORP SERVICES, INC."
"XTS Holdings, LLC",,DARIN  POWELL,
Xtreme Xteriors LLC,,,AAA NORTH DAKOTA REGISTERED AGENT LLC
XTREME TROPHY PROPERTIES,"HAWLEY REALTY, INC.",,
Xtreme Transport Logistics LLC,,MARK W WRIGHT,
XTREME SIGNS & GRAPHIX,,,
XTREME PRODUCTS LLC,,GREG  PFAFF,
X-TREME OUTFITTERS,COREY GULKE,,
XTREME LIGHTING,,,
XTREME INVESTMENTS INC,,,C T CORPORATION SYSTEM
Xtreme installations,David Rodriguez,,
"X-TREME FITNESS, LLC",,SCOTT  SCHMIDT,
"XTREME FIRE PROTECTION, LLC",,,"INCORP SERVICES, INC."
Xcel Automation,Xcel Automation & Electric LLC,,
XTREME ELECTRIC INC,,DEREK  WANZEK,
"XTREME ELECTRICAL SERVICES, INC. (dba X ELECTRIC)",,,PARACORP INCORPORATED
Xcel Holdings LLC,,TANNER  COLLETTE,
X-treme Detailing,Will A siry,,
XTREME DEEP CLEANING L.L.C.,,JADE  HOLTE,
Xtreme Carpet Cleaning LLC,,ALDIN  MEHUKIC,
"XTREME DRILLING, LLC",,,"INCORP SERVICES, INC."
X-treme Detailing llc,,WILLIAM A SIRY,
Xtravagant Elegance,"Xiomara A. Uribe, Ecaterina M. Quintana",,
"Xtra-Office, Inc.",,TRACIE  DAY,
XTREME BUILDERS,JOSH JELINEK,,
"XTRA PROPERTIES, LLC",,SHERLEEN  LARSON,
XTRA APPAREL CO LLC,,NORTH DAKOTA REGISTERED AGENT SERVICES LLC,
XTOP LANGUAGE EDUCATION SERVICES,CHRISTOPHER NWACHUKWU,,
XTRALIGHT MANUFACTURING LP,"XTRALIGHT MANUFACTURING, LTD.",,
"XTREME AUTO, INC.",,MARK L SCHUMACHER,
XTO ENERGY INC.,,,CORPORATION SERVICE COMPANY
"XTO HOLDINGS, LLC",,,CORPORATION SERVICE COMPANY
XCEL NDT LLC,,,SEARCH COMPANY OF NORTH DAKOTA LLC
"XTDIRECT, LLC",,,AAA NORTH DAKOTA REGISTERED AGENT LLC
XTO OFFSHORE INC.,,,CORPORATION SERVICE COMPANY
Xstreme MD,"LIFE LINE TECHNOLOGIES, LLC",,
"XSTREAM PROPERTIES, LLP",,LYNN  JOHNSTON,
"X-STREAM WATERJETTING, LLC",,RYAN  BUCHHOLZ,
XSTREAM CLEAN CAR WASH,"KARLGAARD ENTERPRISES, LLC",,
XSIDING XTERIORS LLC,,DALE  PIETRUSZEWSKI,
"XS DAKOTA, LLC",,,"JAMES R. BULLIS, P.C."
XSTREAM MOBILE SERVICE LLC,,REBECCA  GOETTLE,
XS AUTOMATION,JEROME M HINDS,,
XRHEALTH USA INC.,,"VCORP SERVICES, LLC",
"X-RAY LIMA TANGO, LLC",,CORY  KUNERTH,
Xquisite Construction LLC,,"BRYCE ANDERSON & ASSOCIATES, PLLC",
"XPT Partners, LLC",,,CORPORATE CREATIONS NETWORK INC.
"XPRESSDOCS PARTNERS, LTD., A TEXAS LP","XPRESSDOCS PARTNERS, LTD.",,
"XPRESSDOCS PARTNERS, LTD. (dba XPRESSDOCS PARTNERS, LTD., A TEXAS LP)",,,CORPORATION SERVICE COMPANY
"XPRESSDOCS GP, LLC",,,CORPORATION SERVICE COMPANY
XPRESS MONEY,MONEYDART GLOBAL SERVICES INC.,,
XPRESS BLASTING LLC,,WILLIAM  FRANKLIN,
XPONET (dba XPONET CORPORATION),,,"INCORP SERVICES, INC."
XPON INTERNATIONAL LLC,,,LEGALINC CORPORATE SERVICES INC.
"XPO LOGISTICS FREIGHT, INC.",,,"REGISTERED AGENT SOLUTIONS, INC."
"XPO LAST MILE, INC.",,,"REGISTERED AGENT SOLUTIONS, INC."
XPI LLC,,ERIC  OLSON,
"Xpert Xteriors, LLC",,PHILIP L MAENZA,
XPERT ENTERPRISES LLC,,RACHAEL  NADEAU,
Xpert Drywall llc,,,"NORTHWEST REGISTERED AGENT SERVICE, INC."
"Xperience Title, LLC",,,COGENCY GLOBAL INC.
XPERIENCE HEALTH & FITNESS LLC,,DARCY D REIS,
XPERIENCE HEALTH & FITNESS,XPERIENCE HEALTH & FITNESS LLC,,
Xperience Barbers LLC,,DELSON  SAINTAL,
XRQ CORP.,,,"NORTHWEST REGISTERED AGENT SERVICE, INC."
XP SYSTEMS CORPORATION,,,CORPORATION SERVICE COMPANY
Xperience Barbers,Delson Saintal,,
XOXO L.L.C.,,,REGISTERED AGENTS INC.
